nohup: ignoring input
W0820 10:46:56.768282  2012 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
scale 0:[72/2000],G_loss: 0.28, D_loss: -1.86, rec_loss: 2.36
scale 0:[73/2000],G_loss: 0.32, D_loss: -2.32, rec_loss: 2.14
scale 0:[74/2000],G_loss: 0.20, D_loss: -2.81, rec_loss: 2.16
scale 0:[75/2000],G_loss: 0.32, D_loss: -2.58, rec_loss: 1.89
scale 0:[76/2000],G_loss: 0.22, D_loss: -1.45, rec_loss: 1.99
scale 0:[77/2000],G_loss: 0.37, D_loss: -2.98, rec_loss: 2.56
scale 0:[78/2000],G_loss: -0.04, D_loss: -1.39, rec_loss: 2.30
scale 0:[79/2000],G_loss: 0.61, D_loss: -1.43, rec_loss: 2.06
scale 0:[80/2000],G_loss: 0.53, D_loss: -1.94, rec_loss: 2.19
scale 0:[81/2000],G_loss: 0.46, D_loss: -2.77, rec_loss: 2.28
scale 0:[82/2000],G_loss: 0.63, D_loss: -2.35, rec_loss: 1.90
scale 0:[83/2000],G_loss: 0.34, D_loss: -2.10, rec_loss: 2.16
scale 0:[84/2000],G_loss: 0.45, D_loss: -0.62, rec_loss: 2.07
scale 0:[85/2000],G_loss: 0.64, D_loss: -2.24, rec_loss: 2.07
scale 0:[86/2000],G_loss: 0.42, D_loss: -2.27, rec_loss: 1.97
scale 0:[87/2000],G_loss: 1.00, D_loss: -3.15, rec_loss: 1.78
scale 0:[88/2000],G_loss: 0.93, D_loss: -2.33, rec_loss: 2.00
scale 0:[89/2000],G_loss: 0.74, D_loss: -1.85, rec_loss: 2.26
scale 0:[90/2000],G_loss: 0.52, D_loss: -1.85, rec_loss: 2.19
scale 0:[91/2000],G_loss: 0.94, D_loss: -2.83, rec_loss: 2.21
scale 0:[92/2000],G_loss: 0.37, D_loss: -0.89, rec_loss: 1.52
scale 0:[93/2000],G_loss: 0.33, D_loss: -1.80, rec_loss: 2.51
scale 0:[94/2000],G_loss: 0.49, D_loss: -1.71, rec_loss: 2.10
scale 0:[95/2000],G_loss: 0.29, D_loss: -2.08, rec_loss: 2.25
scale 0:[96/2000],G_loss: 0.60, D_loss: -2.29, rec_loss: 2.22
scale 0:[97/2000],G_loss: 0.77, D_loss: -1.73, rec_loss: 1.96
scale 0:[98/2000],G_loss: 0.89, D_loss: -1.94, rec_loss: 1.80
scale 0:[99/2000],G_loss: 0.73, D_loss: -2.42, rec_loss: 2.33
scale 0:[100/2000],G_loss: 0.78, D_loss: -2.33, rec_loss: 2.37
scale 0:[101/2000],G_loss: 1.15, D_loss: -2.45, rec_loss: 2.01
scale 0:[102/2000],G_loss: 1.23, D_loss: -3.45, rec_loss: 2.10
scale 0:[103/2000],G_loss: 0.93, D_loss: -3.56, rec_loss: 2.10
scale 0:[104/2000],G_loss: 0.81, D_loss: -2.03, rec_loss: 1.97
scale 0:[105/2000],G_loss: 0.63, D_loss: -2.01, rec_loss: 1.90
scale 0:[106/2000],G_loss: 0.75, D_loss: -1.79, rec_loss: 2.12
scale 0:[107/2000],G_loss: 0.59, D_loss: -1.61, rec_loss: 2.13
scale 0:[108/2000],G_loss: 0.69, D_loss: -3.22, rec_loss: 2.33
scale 0:[109/2000],G_loss: 0.89, D_loss: -3.34, rec_loss: 1.96
scale 0:[110/2000],G_loss: 1.01, D_loss: -2.53, rec_loss: 2.11
scale 0:[111/2000],G_loss: 1.31, D_loss: -2.68, rec_loss: 2.32
scale 0:[112/2000],G_loss: 0.97, D_loss: -0.98, rec_loss: 2.04
scale 0:[113/2000],G_loss: 0.32, D_loss: -1.09, rec_loss: 2.21
scale 0:[114/2000],G_loss: 1.09, D_loss: -2.58, rec_loss: 2.37
scale 0:[115/2000],G_loss: 0.74, D_loss: -1.93, rec_loss: 2.00
scale 0:[116/2000],G_loss: 1.03, D_loss: -3.14, rec_loss: 1.95
scale 0:[117/2000],G_loss: 0.53, D_loss: -1.99, rec_loss: 2.44
scale 0:[118/2000],G_loss: 0.77, D_loss: -1.83, rec_loss: 1.99
scale 0:[119/2000],G_loss: 0.82, D_loss: -2.84, rec_loss: 1.97
scale 0:[120/2000],G_loss: 0.50, D_loss: -0.88, rec_loss: 2.08
scale 0:[121/2000],G_loss: 0.58, D_loss: -1.15, rec_loss: 1.92
scale 0:[122/2000],G_loss: 0.70, D_loss: -3.01, rec_loss: 2.11
scale 0:[123/2000],G_loss: 0.78, D_loss: -2.04, rec_loss: 1.87
scale 0:[124/2000],G_loss: 1.06, D_loss: -3.51, rec_loss: 2.14
scale 0:[125/2000],G_loss: 0.67, D_loss: -1.95, rec_loss: 2.42
scale 0:[126/2000],G_loss: 0.68, D_loss: -2.95, rec_loss: 2.07
scale 0:[127/2000],G_loss: 0.64, D_loss: -0.08, rec_loss: 1.96
scale 0:[128/2000],G_loss: 0.33, D_loss: -1.95, rec_loss: 2.44
scale 0:[129/2000],G_loss: 0.76, D_loss: -2.38, rec_loss: 2.07
scale 0:[130/2000],G_loss: 0.75, D_loss: -2.92, rec_loss: 1.93
scale 0:[131/2000],G_loss: 0.72, D_loss: -2.17, rec_loss: 1.72
scale 0:[132/2000],G_loss: 1.10, D_loss: -2.51, rec_loss: 1.86
scale 0:[133/2000],G_loss: 0.66, D_loss: -3.14, rec_loss: 1.83
scale 0:[134/2000],G_loss: 0.40, D_loss: -2.20, rec_loss: 2.23
scale 0:[135/2000],G_loss: 1.31, D_loss: -2.53, rec_loss: 2.16
scale 0:[136/2000],G_loss: 1.21, D_loss: -2.94, rec_loss: 2.15
scale 0:[137/2000],G_loss: 1.27, D_loss: -3.95, rec_loss: 1.64
scale 0:[138/2000],G_loss: 0.50, D_loss: -2.13, rec_loss: 2.20
scale 0:[139/2000],G_loss: 0.71, D_loss: -1.97, rec_loss: 2.24
scale 0:[140/2000],G_loss: 1.17, D_loss: -1.18, rec_loss: 1.65
scale 0:[141/2000],G_loss: 1.38, D_loss: -2.07, rec_loss: 1.98
scale 0:[142/2000],G_loss: 1.13, D_loss: -3.21, rec_loss: 1.86
scale 0:[143/2000],G_loss: 0.39, D_loss: -2.09, rec_loss: 2.11
scale 0:[144/2000],G_loss: 0.64, D_loss: -0.97, rec_loss: 1.90
scale 0:[145/2000],G_loss: 0.64, D_loss: -1.07, rec_loss: 1.74
scale 0:[146/2000],G_loss: 0.53, D_loss: -2.89, rec_loss: 1.87
scale 0:[147/2000],G_loss: 1.58, D_loss: -3.98, rec_loss: 1.84
scale 0:[148/2000],G_loss: 0.07, D_loss: -1.82, rec_loss: 2.03
scale 0:[149/2000],G_loss: 1.01, D_loss: -2.80, rec_loss: 1.91
scale 0:[150/2000],G_loss: 0.70, D_loss: -2.14, rec_loss: 1.89
scale 0:[151/2000],G_loss: 0.35, D_loss: -1.46, rec_loss: 2.18
scale 0:[152/2000],G_loss: 1.26, D_loss: -2.32, rec_loss: 2.16
scale 0:[153/2000],G_loss: 0.72, D_loss: -1.74, rec_loss: 2.23
scale 0:[154/2000],G_loss: 1.27, D_loss: -2.76, rec_loss: 2.20
scale 0:[155/2000],G_loss: 0.53, D_loss: -0.37, rec_loss: 1.63
scale 0:[156/2000],G_loss: 0.62, D_loss: -2.24, rec_loss: 2.18
scale 0:[157/2000],G_loss: 0.93, D_loss: -1.31, rec_loss: 1.62
scale 0:[158/2000],G_loss: 1.01, D_loss: -3.06, rec_loss: 1.71
scale 0:[159/2000],G_loss: 0.92, D_loss: -3.17, rec_loss: 2.25
scale 0:[160/2000],G_loss: 0.67, D_loss: -2.47, rec_loss: 1.95
scale 0:[161/2000],G_loss: 1.17, D_loss: -2.06, rec_loss: 1.65
scale 0:[162/2000],G_loss: 0.86, D_loss: -2.10, rec_loss: 1.73
scale 0:[163/2000],G_loss: 0.73, D_loss: -2.25, rec_loss: 2.36
scale 0:[164/2000],G_loss: 0.53, D_loss: -1.96, rec_loss: 1.77
scale 0:[165/2000],G_loss: 0.61, D_loss: -1.48, rec_loss: 1.94
scale 0:[166/2000],G_loss: 0.83, D_loss: -3.13, rec_loss: 1.89
scale 0:[167/2000],G_loss: 0.65, D_loss: -3.24, rec_loss: 1.92
scale 0:[168/2000],G_loss: 0.35, D_loss: -3.09, rec_loss: 1.70
scale 0:[169/2000],G_loss: 1.88, D_loss: -2.57, rec_loss: 2.23
scale 0:[170/2000],G_loss: 2.02, D_loss: -3.35, rec_loss: 1.93
scale 0:[171/2000],G_loss: 1.93, D_loss: -2.05, rec_loss: 1.75
scale 0:[172/2000],G_loss: 1.84, D_loss: -2.34, rec_loss: 1.98
scale 0:[173/2000],G_loss: 1.30, D_loss: -1.04, rec_loss: 1.88
scale 0:[174/2000],G_loss: 1.73, D_loss: -2.74, rec_loss: 1.85
scale 0:[175/2000],G_loss: 1.53, D_loss: -2.69, rec_loss: 1.94
scale 0:[176/2000],G_loss: 1.47, D_loss: -2.90, rec_loss: 1.92
scale 0:[177/2000],G_loss: 1.29, D_loss: -2.07, rec_loss: 1.89
scale 0:[178/2000],G_loss: 1.07, D_loss: -1.89, rec_loss: 1.64
scale 0:[179/2000],G_loss: 1.50, D_loss: -3.45, rec_loss: 1.82
scale 0:[180/2000],G_loss: 1.42, D_loss: -2.21, rec_loss: 1.88
scale 0:[181/2000],G_loss: 1.25, D_loss: -1.40, rec_loss: 1.84
scale 0:[182/2000],G_loss: 1.49, D_loss: -2.09, rec_loss: 1.78
scale 0:[183/2000],G_loss: 1.55, D_loss: -3.41, rec_loss: 1.85
scale 0:[184/2000],G_loss: 1.61, D_loss: -1.88, rec_loss: 1.83
scale 0:[185/2000],G_loss: 1.30, D_loss: -2.61, rec_loss: 1.97
scale 0:[186/2000],G_loss: 1.22, D_loss: -0.86, rec_loss: 1.90
scale 0:[187/2000],G_loss: 1.42, D_loss: -2.95, rec_loss: 1.56
scale 0:[188/2000],G_loss: 0.90, D_loss: -1.55, rec_loss: 2.00
scale 0:[189/2000],G_loss: 0.73, D_loss: -1.71, rec_loss: 1.94
scale 0:[190/2000],G_loss: 1.23, D_loss: -2.82, rec_loss: 1.77
scale 0:[191/2000],G_loss: 1.34, D_loss: -2.12, rec_loss: 1.79
scale 0:[192/2000],G_loss: 1.27, D_loss: -3.62, rec_loss: 1.91
scale 0:[193/2000],G_loss: 1.11, D_loss: -1.77, rec_loss: 1.96
scale 0:[194/2000],G_loss: 1.20, D_loss: -1.94, rec_loss: 2.08
scale 0:[195/2000],G_loss: 1.52, D_loss: -3.69, rec_loss: 1.96
scale 0:[196/2000],G_loss: 1.54, D_loss: -2.05, rec_loss: 1.78
scale 0:[197/2000],G_loss: 1.24, D_loss: -2.52, rec_loss: 2.05
scale 0:[198/2000],G_loss: 0.84, D_loss: -2.56, rec_loss: 1.80
scale 0:[199/2000],G_loss: 0.90, D_loss: -2.25, rec_loss: 1.88
scale 0:[200/2000],G_loss: 1.08, D_loss: -2.30, rec_loss: 2.06
scale 0:[201/2000],G_loss: 0.52, D_loss: -2.63, rec_loss: 1.58
scale 0:[202/2000],G_loss: 1.01, D_loss: -2.02, rec_loss: 1.92
scale 0:[203/2000],G_loss: 0.49, D_loss: -2.62, rec_loss: 1.86
scale 0:[204/2000],G_loss: 1.28, D_loss: -2.80, rec_loss: 1.67
scale 0:[205/2000],G_loss: 1.71, D_loss: -3.15, rec_loss: 1.83
scale 0:[206/2000],G_loss: 0.63, D_loss: -2.80, rec_loss: 2.03
scale 0:[207/2000],G_loss: 0.10, D_loss: -1.94, rec_loss: 1.90
scale 0:[208/2000],G_loss: 0.39, D_loss: -1.29, rec_loss: 1.90
scale 0:[209/2000],G_loss: 1.28, D_loss: -3.82, rec_loss: 1.95
scale 0:[210/2000],G_loss: 1.47, D_loss: -1.66, rec_loss: 2.10
scale 0:[211/2000],G_loss: 0.89, D_loss: -1.98, rec_loss: 1.97
scale 0:[212/2000],G_loss: 1.25, D_loss: -2.95, rec_loss: 1.95
scale 0:[213/2000],G_loss: 0.83, D_loss: -2.26, rec_loss: 2.19
scale 0:[214/2000],G_loss: -0.16, D_loss: -1.14, rec_loss: 1.87
scale 0:[215/2000],G_loss: 1.13, D_loss: -2.88, rec_loss: 1.88
scale 0:[216/2000],G_loss: 0.80, D_loss: -1.64, rec_loss: 1.79
scale 0:[217/2000],G_loss: 0.65, D_loss: -1.99, rec_loss: 1.85
scale 0:[218/2000],G_loss: 0.97, D_loss: -2.68, rec_loss: 1.96
scale 0:[219/2000],G_loss: 1.28, D_loss: -2.83, rec_loss: 1.92
scale 0:[220/2000],G_loss: 1.33, D_loss: -2.16, rec_loss: 1.59
scale 0:[221/2000],G_loss: 1.86, D_loss: -3.31, rec_loss: 2.01
scale 0:[222/2000],G_loss: 1.18, D_loss: -2.92, rec_loss: 1.58
scale 0:[223/2000],G_loss: 1.42, D_loss: -2.60, rec_loss: 2.14
scale 0:[224/2000],G_loss: 1.48, D_loss: -2.59, rec_loss: 2.06
scale 0:[225/2000],G_loss: 1.07, D_loss: -1.68, rec_loss: 1.76
